,index,ref,ref_p5,ref_p95,2050laag,2050laag_p5,2050laag_p95,2050hoog,2050hoog_p5,2050hoog_p95,2100laag,2100laag_p5,2100laag_p95,2100hoog,2100hoog_p5,2100hoog_p95
375,376,17.683333333333334,2.0,41.14999999999995,12.091666666666667,0.0,33.0,8.470833333333333,0.0,27.049999999999983,12.091666666666667,0.0,33.0,2.0625,0.0,10.0
376,377,21.308333333333334,3.950000000000001,47.04999999999998,14.708333333333334,0.0,38.04999999999998,10.883333333333333,0.0,30.099999999999966,14.708333333333334,0.0,38.04999999999998,2.7416666666666667,0.0,12.0
377,378,21.308333333333334,3.950000000000001,47.04999999999998,14.708333333333334,0.0,38.04999999999998,10.883333333333333,0.0,30.099999999999966,14.708333333333334,0.0,38.04999999999998,2.7416666666666667,0.0,12.0
378,379,29.679166666666667,8.0,56.099999999999966,20.733333333333334,3.0,44.14999999999995,15.679166666666667,2.0,38.04999999999998,20.733333333333334,3.0,44.14999999999995,4.754166666666666,0.0,16.049999999999983
379,380,35.61666666666667,12.950000000000001,64.04999999999998,25.679166666666667,5.0,50.0,18.175,2.0,43.0,25.679166666666667,5.0,50.0,5.708333333333333,0.0,17.049999999999983
380,381,43.6625,19.0,73.04999999999998,33.40416666666667,12.0,62.04999999999998,24.6875,6.950000000000001,50.04999999999998,33.40416666666667,12.0,62.04999999999998,8.1125,0.0,21.0
381,382,43.6625,19.0,73.04999999999998,33.40416666666667,12.0,62.04999999999998,24.6875,6.950000000000001,50.04999999999998,33.40416666666667,12.0,62.04999999999998,8.1125,0.0,21.0
382,383,50.96666666666667,24.0,82.04999999999998,40.270833333333336,18.0,68.09999999999997,30.995833333333334,10.0,58.04999999999998,40.270833333333336,18.0,68.09999999999997,10.054166666666667,0.0,25.0
383,384,54.36666666666667,27.0,85.04999999999998,43.03333333333333,19.950000000000003,72.0,32.84166666666667,10.950000000000001,61.0,43.03333333333333,19.950000000000003,72.0,11.195833333333333,1.0,26.049999999999983
384,385,54.36666666666667,27.0,85.04999999999998,43.03333333333333,19.950000000000003,72.0,32.84166666666667,10.950000000000001,61.0,43.03333333333333,19.950000000000003,72.0,11.195833333333333,1.0,26.049999999999983
385,386,57.3875,29.950000000000003,88.0,45.579166666666666,21.0,75.04999999999998,34.145833333333336,11.0,62.04999999999998,45.579166666666666,21.0,75.04999999999998,11.7125,1.0,27.0
386,387,58.516666666666666,30.950000000000003,91.04999999999998,47.09166666666667,21.0,75.0,34.8375,12.0,63.0,47.09166666666667,21.0,75.0,12.670833333333333,1.0,28.049999999999983
387,388,59.50416666666667,32.95,90.0,48.4875,24.0,77.0,36.34166666666667,14.0,63.04999999999998,48.4875,24.0,77.0,13.245833333333334,1.0,29.049999999999983
388,389,59.50416666666667,32.95,90.0,48.4875,24.0,77.0,36.34166666666667,14.0,63.04999999999998,48.4875,24.0,77.0,13.245833333333334,1.0,29.049999999999983
389,390,59.9125,34.0,90.0,47.80416666666667,23.0,77.0,35.2875,13.0,62.0,47.80416666666667,23.0,77.0,12.9125,1.0,29.049999999999983
390,391,60.545833333333334,33.0,90.04999999999998,48.65416666666667,24.950000000000003,78.04999999999998,36.12916666666667,14.950000000000001,63.0,48.65416666666667,24.950000000000003,78.04999999999998,13.283333333333333,1.0,30.0
391,392,60.545833333333334,33.0,90.04999999999998,48.65416666666667,24.950000000000003,78.04999999999998,36.12916666666667,14.950000000000001,63.0,48.65416666666667,24.950000000000003,78.04999999999998,13.283333333333333,1.0,30.0
392,393,62.05,33.95,91.04999999999998,49.670833333333334,24.950000000000003,79.0,37.80833333333333,14.950000000000001,65.09999999999997,49.670833333333334,24.950000000000003,79.0,13.929166666666667,1.0,31.049999999999983
393,394,60.2,32.95,90.04999999999998,48.479166666666664,23.950000000000003,76.04999999999998,35.7375,13.950000000000001,61.099999999999966,48.479166666666664,23.950000000000003,76.04999999999998,13.291666666666666,1.0,30.0
394,395,60.2,32.95,90.04999999999998,48.479166666666664,23.950000000000003,76.04999999999998,35.7375,13.950000000000001,61.099999999999966,48.479166666666664,23.950000000000003,76.04999999999998,13.291666666666666,1.0,30.0
395,396,56.81666666666667,29.950000000000003,87.0,43.416666666666664,20.0,69.0,31.733333333333334,10.950000000000001,58.0,43.416666666666664,20.0,69.0,11.3,0.0,27.0
396,397,53.32083333333333,27.0,84.04999999999998,39.795833333333334,16.0,66.04999999999998,28.754166666666666,10.950000000000001,54.04999999999998,39.795833333333334,16.0,66.04999999999998,10.466666666666667,0.0,25.0
397,398,48.15416666666667,23.0,78.04999999999998,35.56666666666667,15.0,62.04999999999998,26.575,8.0,51.099999999999966,35.56666666666667,15.0,62.04999999999998,9.833333333333334,0.0,23.049999999999983
398,399,48.15416666666667,23.0,78.04999999999998,35.56666666666667,15.0,62.04999999999998,26.575,8.0,51.099999999999966,35.56666666666667,15.0,62.04999999999998,9.833333333333334,0.0,23.049999999999983
399,400,45.1375,20.0,74.04999999999998,33.50833333333333,13.0,60.04999999999998,25.091666666666665,6.950000000000001,49.099999999999966,33.50833333333333,13.0,60.04999999999998,9.25,0.0,23.0
400,401,43.770833333333336,20.0,74.09999999999997,32.4625,12.950000000000001,58.099999999999966,24.279166666666665,6.950000000000001,48.0,32.4625,12.950000000000001,58.099999999999966,9.041666666666666,0.0,22.049999999999983
401,402,43.770833333333336,20.0,74.09999999999997,32.4625,12.950000000000001,58.099999999999966,24.279166666666665,6.950000000000001,48.0,32.4625,12.950000000000001,58.099999999999966,9.041666666666666,0.0,22.049999999999983
402,403,45.833333333333336,21.0,77.0,34.72083333333333,14.0,61.04999999999998,25.941666666666666,8.0,50.04999999999998,34.72083333333333,14.0,61.04999999999998,9.683333333333334,0.0,24.0
