Jaar,Jaargemiddelde,Trend metingen,Lage uitstootscenario,Lage uitstootscenario-range (low),Lage uitstootscenario-range (high),2050laag,2100laag,Hoge uitstootscenario,Hoge uitstootscenario-range (low),Hoge uitstootscenario-range (high),2050hoog,2100hoog
2090,,,46.03605860458744,26.528141556681312,71.22945957976658,,,72.64587934352205,50.951753889410504,105.21885760745833,,
2091,,,46.43493697531191,26.600598748806274,72.16149620230024,,,74.01014446346132,51.863240153694555,107.34183050499227,,
2092,,,46.81209592530356,26.652301560443775,73.063567170037,,,75.37461335729233,52.76040564649813,109.47731945821087,,
2093,,,47.13822167830025,26.65549027852466,73.92824431302363,,,76.71288902245604,53.62703036577225,111.59635776194011,,
2094,,,47.490701994736646,26.672888479477244,74.83013328198673,,,78.10451100779449,54.52474106695983,113.77977152233898,,
2095,,,47.8399221432179,26.684337411951624,75.73934539162367,,,79.52191671321096,55.43032603685747,116.00444066117856,,
2096,,,48.10813372144207,26.621990331953505,76.56374220044091,,,80.88299521260844,56.27864097266302,118.17333688857246,,
2097,,,48.45860863093107,26.617291276463092,77.48948470828552,,,82.35467065627405,57.20464155231022,120.47484858490186,,
2098,,,48.70209694488554,26.518709842176627,78.31277110294106,,,83.74811149736489,58.052916306573415,122.70476967405328,,
2099,,,48.98058880985213,26.439044301617056,79.17050791492275,,,85.1992254662387,58.93569294528441,125.00987039311782,,
2100,,,49.21021320305096,26.306426257215797,79.98701350539127,,49,86.63286321735504,59.7876366890939,127.30522323494185,,87
